S.No,OHU,Gender,Age,Religion,Caste,Scholarship,Time_to_reach_college(HRS),X_pct,X_Board,XII_pct,XII_Board,Diploma_pct,University,Private_Class,Number_of_Subjects,Overall_Attendance,Major_Illness,Score_of_Exam_CET,Score_of_Exam_AIEEE,Fathers_Ocuupation,Fathers_Education,F_Stream,F_Health_Issue,Mothers_Ocuupation,Mothers_Education,M_Stream,M_Health_Issue,Family_Income,No_of_Siblings,Extra_Curricular_Activity,Active_in_Sports,Drop,SEM1_CGPA,SEM1_KT,SEM2_CGPA,SEM2_KT,SEM3_CGPA,SEM3_KT,SEM4_CGPA,SEM4_KT,SEM5_CGPA,SEM5_KT,SEM6_CGPA,SEM6_KT
1,0,2,21,2,1,1,66,53,2,75,2,NA,NA,1,4,1,2,132,202,2,2,1,1,2,1,1,2,1,2,1,2,2,9.26,No_KT,9.96,No_KT,7.53,No_KT,6.8,No_KT,6.75,No_KT,7.48,No_KT
2,0,1,23,1,3,1,60,56,1,92,2,NA,NA,2,0,1,2,137,129,3,1,2,2,2,1,2,3,1,2,3,1,2,No_CGPA,1,No_CGPA,5,6.32,No_KT,No_CGPA,2,No_CGPA,6,9.41,No_KT
3,0,1,24,1,3,1,75,67,1,80,2,NA,NA,2,0,3,2,101,232,4,2,3,1,3,2,1,1,1,2,3,1,2,6.39,No_KT,5.27,No_KT,6.32,No_KT,9.13,No_KT,5.24,No_KT,8.35,No_KT
4,0,1,22,1,3,1,62,75,1,79,2,NA,NA,2,0,3,2,104,255,2,2,1,1,3,3,3,2,2,2,2,2,2,7.81,No_KT,8.50,No_KT,9.32,No_KT,7.23,No_KT,8.90,No_KT,7.92,No_KT
5,0,1,22,1,3,1,103,84,1,56,2,NA,NA,2,0,3,2,100,250,2,3,3,2,2,2,3,1,1,1,2,2,2,9.59,No_KT,6.47,No_KT,No_CGPA,3,No_CGPA,1,6.0,No_KT,6.92,No_KT
6,0,2,22,5,2,1,48,85,2,50,2,NA,NA,2,0,2,1,77,178,1,2,3,2,2,2,1,3,1,3,2,1,1,No_CGPA,1,No_CGPA,6,No_CGPA,3,No_CGPA,1,8.80,No_KT,No_CGPA,1
7,0,1,24,1,3,1,94,66,1,62,2,NA,NA,1,1,1,2,116,258,1,2,1,2,1,1,1,2,3,3,1,2,2,9.62,No_KT,5.67,No_KT,5.15,No_KT,9.5,No_KT,9.77,No_KT,7.34,No_KT
8,0,1,22,1,3,1,53,65,1,84,1,NA,NA,1,4,3,2,139,256,2,3,3,2,2,1,3,3,1,3,3,2,2,6.17,No_KT,6.27,No_KT,7.47,No_KT,5.48,No_KT,6.70,No_KT,7.71,No_KT
9,0,2,24,5,2,1,118,64,3,89,3,NA,NA,1,5,3,1,113,129,2,1,1,1,2,2,1,3,2,3,1,1,2,5.46,No_KT,5.39,No_KT,8.38,No_KT,5.54,No_KT,8.20,No_KT,8.39,No_KT
10,0,2,21,4,1,1,53,55,3,53,2,NA,NA,1,5,3,1,91,129,4,3,2,1,1,3,1,3,2,3,2,1,2,7.92,No_KT,6.38,No_KT,9.27,No_KT,7.77,No_KT,9.82,No_KT,7.63,No_KT
11,0,1,21,1,3,1,54,53,1,66,2,NA,NA,1,2,2,2,146,262,4,3,2,1,1,1,3,3,2,2,2,2,2,9.12,No_KT,No_CGPA,5,7.23,No_KT,7.38,No_KT,No_CGPA,1,9.40,No_KT
12,0,1,24,1,3,1,75,60,1,84,2,NA,NA,1,2,2,2,101,170,2,1,1,1,3,1,2,2,3,1,1,1,2,9.30,No_KT,5.34,No_KT,6.27,No_KT,9.28,No_KT,9.80,No_KT,6.65,No_KT
13,0,2,23,5,2,1,104,67,2,80,3,NA,NA,2,0,1,1,174,205,4,3,3,1,2,2,3,2,3,2,3,2,2,8.81,No_KT,8.12,No_KT,9.62,No_KT,8.5,No_KT,6.52,No_KT,9.93,No_KT
14,0,1,23,1,3,1,74,69,1,73,2,NA,NA,1,3,2,2,137,188,1,2,1,2,2,3,2,2,1,1,3,2,1,7.21,No_KT,6.57,No_KT,No_CGPA,1,No_CGPA,1,No_CGPA,5,No_CGPA,2
15,0,1,24,1,3,1,28,95,1,63,1,NA,NA,2,0,1,2,145,210,2,3,3,1,2,1,3,3,1,2,3,2,2,9.95,No_KT,7.54,No_KT,9.37,No_KT,6.36,No_KT,8.2,No_KT,5.78,No_KT
16,0,2,22,2,2,1,33,70,3,69,3,NA,NA,2,0,1,2,140,260,1,1,3,2,2,2,2,2,1,3,2,2,2,7.74,No_KT,5.26,No_KT,8.1,No_KT,8.92,No_KT,8.3,No_KT,9.86,No_KT
17,0,2,23,3,2,1,84,85,3,50,3,NA,NA,2,0,3,1,157,154,4,2,1,2,3,3,1,1,2,1,2,2,2,No_CGPA,3,No_CGPA,5,No_CGPA,6,8.32,No_KT,7.80,No_KT,5.50,No_KT
18,1,1,22,1,3,2,40,95,1,86,3,NA,NA,1,3,1,2,76,190,2,2,1,2,3,3,2,3,1,3,3,2,2,6.60,No_KT,5.54,No_KT,9.42,No_KT,5.37,No_KT,8.23,No_KT,9.34,No_KT
19,0,1,22,1,3,1,82,72,1,81,3,NA,NA,1,4,2,2,147,127,4,3,3,1,1,3,1,1,1,2,2,1,2,6.18,No_KT,6.51,No_KT,6.38,No_KT,5.45,No_KT,5.16,No_KT,9.42,No_KT
20,0,2,21,4,2,1,114,57,3,62,3,NA,NA,2,0,2,1,164,228,1,2,1,2,2,2,3,1,3,1,1,2,2,No_CGPA,1,8.53,No_KT,No_CGPA,3,No_CGPA,4,7.72,No_KT,No_CGPA,5
21,0,1,24,1,3,1,59,53,1,69,2,NA,NA,2,0,2,2,158,245,2,3,1,2,3,3,1,1,1,2,3,2,2,No_CGPA,3,No_CGPA,5,No_CGPA,5,8.23,No_KT,8.98,No_KT,No_CGPA,2
22,0,1,23,1,3,1,69,84,1,78,2,NA,NA,1,4,1,2,101,175,2,2,3,1,3,3,1,3,1,3,2,1,2,9.61,No_KT,8.73,No_KT,7.15,No_KT,6.82,No_KT,8.27,No_KT,9.11,No_KT
23,0,2,21,2,1,1,93,70,2,68,1,NA,NA,1,4,2,1,75,128,2,3,1,1,3,3,3,2,2,2,2,2,1,No_CGPA,5,No_CGPA,1,8.4,No_KT,9.67,No_KT,No_CGPA,3,No_CGPA,3
24,0,2,21,4,2,1,73,84,3,77,2,NA,NA,2,0,1,2,78,147,2,2,1,1,1,1,3,1,3,2,2,2,2,5.99,No_KT,6.43,No_KT,5.49,No_KT,9.52,No_KT,7.13,No_KT,7.75,No_KT
25,0,1,23,1,3,1,106,83,1,NA,NA,60,2,1,5,1,2,NA,NA,1,2,2,1,1,3,2,3,2,3,2,2,1,6.41,No_KT,No_CGPA,3,No_CGPA,2,No_CGPA,6,No_CGPA,5,6.59,No_KT
26,0,2,24,3,2,1,83,74,3,55,2,NA,NA,1,4,1,2,113,215,4,1,3,1,3,1,2,2,1,2,3,1,1,5.77,No_KT,9.55,No_KT,6.36,No_KT,No_CGPA,4,No_CGPA,1,8.54,No_KT
27,0,2,23,3,2,1,83,70,2,85,2,NA,NA,1,2,1,1,152,224,2,1,1,2,1,1,1,1,1,3,1,1,2,9.27,No_KT,6.97,No_KT,6.31,No_KT,5.38,No_KT,8.82,No_KT,8.67,No_KT
28,0,1,21,1,3,1,52,63,1,58,3,NA,NA,1,4,1,2,78,181,4,3,1,1,2,1,3,2,1,3,1,1,1,No_CGPA,2,6.13,No_KT,No_CGPA,3,No_CGPA,2,No_CGPA,1,No_CGPA,3
29,0,1,22,1,3,1,55,92,1,92,3,NA,NA,2,0,2,2,113,225,2,1,1,1,3,2,1,2,2,1,1,1,2,6.70,No_KT,9.9,No_KT,9.61,No_KT,8.63,No_KT,8.20,No_KT,8.80,No_KT
30,0,2,24,5,1,1,23,86,2,66,2,NA,NA,1,4,3,2,78,155,1,3,1,1,1,2,2,3,3,1,1,1,2,6.80,No_KT,5.8,No_KT,9.41,No_KT,6.23,No_KT,6.95,No_KT,5.95,No_KT
31,0,2,24,2,2,1,32,53,3,82,2,NA,NA,2,0,1,2,117,182,1,1,3,2,3,3,1,3,3,3,2,2,1,6.15,No_KT,No_CGPA,4,No_CGPA,3,7.81,No_KT,5.80,No_KT,6.51,No_KT
32,0,2,22,4,1,1,93,71,2,80,1,NA,NA,1,5,2,1,162,133,1,3,3,1,3,2,3,2,2,1,1,2,1,8.45,No_KT,7.93,No_KT,6.95,No_KT,6.16,No_KT,No_CGPA,1,9.83,No_KT
33,0,1,21,1,3,1,70,83,1,71,2,NA,NA,2,0,3,2,138,231,4,1,3,1,1,2,1,3,1,2,1,2,2,5.25,No_KT,8.11,No_KT,5.29,No_KT,6.59,No_KT,9.59,No_KT,8.43,No_KT
34,0,2,22,3,2,1,49,78,2,89,3,NA,NA,2,0,2,2,97,175,2,3,2,2,1,2,1,3,1,2,1,2,2,9.66,No_KT,6.85,No_KT,7.97,No_KT,9.6,No_KT,9.1,No_KT,9.95,No_KT
35,0,2,22,3,1,1,41,86,2,63,2,NA,NA,1,4,1,2,170,254,2,3,3,2,2,2,3,3,2,3,2,2,1,No_CGPA,1,No_CGPA,4,8.81,No_KT,5.63,No_KT,No_CGPA,3,No_CGPA,2
36,0,2,21,4,1,1,74,94,2,82,1,NA,NA,2,0,3,2,157,244,3,1,1,2,3,1,3,2,2,3,3,2,2,7.91,No_KT,8.69,No_KT,8.80,No_KT,8.29,No_KT,7.63,No_KT,9.13,No_KT
37,0,2,21,3,1,1,53,74,2,64,3,NA,NA,2,0,3,1,92,153,4,2,3,1,3,2,1,2,3,3,3,2,2,5.69,No_KT,8.13,No_KT,9.72,No_KT,9.42,No_KT,9.26,No_KT,6.35,No_KT
38,0,1,24,1,3,1,83,62,1,75,3,NA,NA,2,0,2,2,136,149,4,1,3,2,3,1,1,3,3,1,1,2,2,8.55,No_KT,9.79,No_KT,5.4,No_KT,9.11,No_KT,6.88,No_KT,5.66,No_KT
39,0,1,22,1,3,1,108,50,1,77,1,NA,NA,1,1,2,2,79,229,1,3,1,1,1,3,1,2,3,3,1,1,2,No_CGPA,3,6.87,No_KT,No_CGPA,3,No_CGPA,5,No_CGPA,3,No_CGPA,5
40,0,2,24,4,2,1,52,78,3,83,2,NA,NA,1,2,2,1,123,218,2,1,1,2,2,2,1,1,3,2,3,2,2,6.80,No_KT,7.85,No_KT,6.67,No_KT,5.44,No_KT,9.59,No_KT,7.27,No_KT
41,0,2,23,2,1,1,23,51,3,80,2,NA,NA,1,3,1,2,172,224,2,1,1,1,3,2,1,2,2,3,1,1,2,7.62,No_KT,5.49,No_KT,9.98,No_KT,5.85,No_KT,5.75,No_KT,5.32,No_KT
42,1,1,22,1,3,2,32,83,1,85,1,NA,NA,1,1,1,2,123,261,2,2,1,2,3,3,2,3,1,3,3,2,2,6.37,No_KT,7.17,No_KT,7.60,No_KT,No_CGPA,4,No_CGPA,1,No_CGPA,5
43,0,2,24,2,1,1,24,63,3,67,2,NA,NA,1,5,1,2,109,133,4,3,2,2,3,2,1,1,2,3,1,1,2,7.81,No_KT,9.99,No_KT,6.75,No_KT,8.45,No_KT,9.59,No_KT,8.7,No_KT
44,0,2,21,3,2,1,26,68,2,66,2,NA,NA,1,4,1,1,114,144,1,3,1,1,1,3,3,3,2,1,1,2,2,7.49,No_KT,9.27,No_KT,9.18,No_KT,8.61,No_KT,5.30,No_KT,8.37,No_KT
45,0,2,24,3,1,1,78,72,2,58,3,NA,NA,2,0,1,2,145,246,3,1,1,2,1,3,2,2,3,3,3,1,2,9.51,No_KT,8.29,No_KT,6.32,No_KT,7.61,No_KT,8.78,No_KT,7.62,No_KT
46,0,2,22,5,2,1,112,92,3,60,3,NA,NA,2,0,3,2,124,169,4,1,2,1,2,2,3,1,3,2,2,1,1,5.16,No_KT,No_CGPA,3,No_CGPA,3,8.23,No_KT,9.3,No_KT,6.77,No_KT
47,0,2,24,5,1,1,34,89,3,91,3,NA,NA,2,0,2,2,84,247,2,2,1,1,1,2,3,1,3,2,1,1,2,5.41,No_KT,6.4,No_KT,8.61,No_KT,7.5,No_KT,9.39,No_KT,6.5,No_KT
48,0,1,24,1,3,1,98,74,1,85,2,NA,NA,2,0,3,2,119,177,3,1,2,2,2,3,2,1,2,2,2,1,2,5.77,No_KT,7.91,No_KT,8.24,No_KT,5.49,No_KT,6.97,No_KT,6.24,No_KT
49,0,2,21,2,1,1,65,91,2,85,2,NA,NA,2,0,2,1,76,233,4,3,1,1,2,3,1,2,1,2,1,2,1,7.93,No_KT,9.79,No_KT,No_CGPA,2,8.72,No_KT,7.85,No_KT,8.92,No_KT
50,0,1,21,1,3,1,95,75,1,92,2,NA,NA,2,0,3,2,103,211,3,1,2,1,3,3,2,2,2,1,3,2,2,6.71,No_KT,5.49,No_KT,9.45,No_KT,7.92,No_KT,7.74,No_KT,7.48,No_KT
51,1,1,24,1,3,2,25,68,1,63,2,NA,NA,1,5,1,2,163,192,2,3,3,1,2,1,3,3,1,2,3,2,2,5.36,No_KT,8.89,No_KT,6.87,No_KT,9.77,No_KT,6.98,No_KT,6.96,No_KT
52,0,2,21,4,2,1,73,84,3,62,2,NA,NA,1,2,1,2,121,172,2,2,1,1,1,1,3,1,3,2,2,2,2,8.39,No_KT,6.19,No_KT,7.16,No_KT,7.89,No_KT,7.96,No_KT,5.19,No_KT
53,0,1,23,1,3,1,49,66,1,79,2,NA,NA,1,2,2,2,81,237,4,1,1,1,1,3,1,2,1,3,1,1,1,No_CGPA,6,7.36,No_KT,No_CGPA,4,No_CGPA,3,8.31,No_KT,No_CGPA,2
54,1,2,24,1,1,2,91,52,3,77,3,NA,NA,1,4,3,2,146,233,1,3,2,2,1,2,2,2,2,3,2,2,2,9.40,No_KT,6.43,No_KT,7.36,No_KT,6.26,No_KT,5.13,No_KT,8.55,No_KT
55,0,2,21,3,2,1,79,52,3,91,3,NA,NA,2,0,1,2,91,244,2,3,2,2,3,3,2,1,1,2,2,1,2,5.36,No_KT,5.81,No_KT,9.58,No_KT,8.3,No_KT,7.88,No_KT,7.60,No_KT
56,0,1,24,1,3,1,97,75,1,69,1,NA,NA,2,0,2,2,176,178,4,2,3,2,2,2,2,3,2,1,2,1,2,7.63,No_KT,6.63,No_KT,6.0,No_KT,9.14,No_KT,6.26,No_KT,7.51,No_KT
57,0,1,22,1,3,1,63,86,1,92,1,NA,NA,1,4,3,2,79,210,1,1,3,2,2,2,1,2,1,1,2,2,2,5.21,No_KT,9.2,No_KT,7.12,No_KT,7.28,No_KT,7.44,No_KT,6.77,No_KT
58,1,2,23,1,1,2,82,72,3,64,2,NA,NA,1,2,2,2,158,216,3,2,3,1,1,3,3,3,2,2,1,2,2,No_CGPA,5,6.90,No_KT,No_CGPA,1,5.84,No_KT,No_CGPA,6,8.75,No_KT
